ID,Site group (Japanese),Site name (Japanese),Locality name (Japanese),Cultural layer,Site group,Site name ,Locality name,Adress (Japanese),North Latitude,East Longitude,Geodetic system,Altitude (Tokyo Peil),Knife shaped tool,Trapeze（Trapezoid）,Axe shaped tool,Tangged point on blade,Triangulared pointed tool,Lanceolate shaped point,Biface,Micro blade,Mikoshiba type axe shaped tool,Tangged point,End scraper/Scraper,Burin,Whetstone,Hammer stone,Anvil stone,Pebble tool,Others (Japanease),Earthenware from the Incipient Jomon,Lithic cluster,Pebble cluster,Charcoal fragment concentration,Other features,Remark,Citation,CitationID1,CitationID2,Citation ID3,Citation ID4,Citation ID5,CitationID6,Research type,Creation date,Created by,Update date,Updated by,Coordinate check
ID,遺跡群名,遺跡名,地点・地区名,文化層・石器文化,遺跡群名読み方,遺跡名読み方,地点・地区名読み方,所在地,緯度,経度,測地系,標高,ナイフ形石器,台形（様）石器,斧形石器,剥片尖頭器,角錐状石器・三稜尖頭器,槍先形尖頭器,両面調整石器,細石刃・細石核等,神子柴型石斧,有茎（舌）尖頭器,掻器・削器,彫器,砥石,叩石,台石,礫器,その他の石器,草創期土器,ブロック･ユニット,礫群・配石,炭化物集中,その他の遺構,特記事項,文献,文献ID1,文献ID2,文献ID3,文献ID4,文献ID5,文献ID6,調査歴,作成年月日,作成者,更新年月日,更新者,位置修正
330019,,犬島松が鼻遺跡,第１地点,,,Inujimamatsugahana,Loc.1,岡山市犬島,34.55972,134.09718,世界,10,○,,,,,,,○,,,,,,,,,剥片,,,,,,,白石純・小野伸・小野勢1997,B330074,,,,,,採集資料,,西田和浩,20171104,小嶋善邦,1
330020,,犬島小山岬遺跡,第１地点,,,Inujimakoyamamisaki,Loc.1,岡山市犬島,34.56058,134.10072,世界,10,○,,,,,,,,,,,,,,,,剥片,,,,,,,白石純・小野伸・小野勢1997,B330074,,,,,,採集資料,,西田和浩,20171104,小嶋善邦,1
330021,,佐古谷遺跡,,,,Sakonotani,,岡山市彦崎佐古谷,34.54785,133.83292,世界,17,○,,,,,○,,,,,○,,,,,,石核,,,,,炉跡,,灘崎町教育委員会2001,B330096,,,,,,発掘調査,,西田和浩,20171104,小嶋善邦,1
330022,,汐ヶ鼻A遺跡,,,,Shiogahana A,,笠岡市片島浦ノ前西平,34.481389,133.498333,世界,25,○,,,,,,,,,,,,,,,,剥片,,,,,,,岡山県教育委員会1979a,B330013,,,,,,採集資料,,藤原好二,,,
330023,,汐ヶ鼻B遺跡,,,,Shiogahana B,,笠岡市片島アバマ,34.480556,133.498056,世界,25,,,,,,,,,,,,,,,,,剥片,,,,,,,笠岡市教育委員会1985,B330039,,,,,,採集資料,,藤原好二,,,
330024,,下浦A遺跡,,,,Shimoura A,,笠岡市片島浦ノ前,34.478333,133.500833,世界,25,,,,,,,,,,,,,,,,,剥片,,,,,,,笠岡市教育委員会1985,B330039,,,,,,採集資料,,藤原好二,,,
330025,,下浦B遺跡,,,,Shimoura B,,笠岡市片島八幡前,34.478333,133.501667,世界,25,○,,,,,,,,,,,,,,,,剥片,,,,,,,笠岡市教育委員会1985/藤原好二1996b,B330039,B330094,,,,,採集資料,,藤原好二,,,
330026,,下浦C遺跡,,,,Shimoura C,,笠岡市片島八幡前,34.477222,133.502222,世界,20,○,,,,,○,,○,,,,,,,,,剥片,,,,,,,笠岡市教育委員会1985/藤原好二1996b,B330039,B330094,,,,,採集資料,,藤原好二,,,
330027,,下浦D遺跡,,,,Shimoura D,,笠岡市片島金敷,34.478611,133.502222,世界,30,○,,,,,○,,,,,,,,,,,剥片,,,,,,,笠岡市教育委員会1985,B330039,,,,,,採集資料,,藤原好二,,,
330028,,下浦E遺跡,,,,Shimoura E,,笠岡市片島サコ,34.479722,133.501944,世界,30,,,,,,,,,,,,,,,,,剥片,,,,,,,笠岡市教育委員会1985,B330039,,,,,,採集資料,,藤原好二,,,
330029,,高丸A遺跡,,,,Takamaru A,,笠岡市片島影浦東,34.480833,133.507222,世界,30,,,,,,,,,,,,,,,,,剥片,,,,,,,笠岡市教育委員会1985,B330039,,,,,,発掘調査,,藤原好二,,,
330030,,高丸B遺跡,,,,Takamaru B,,笠岡市片島影浦東,34.480556,133.5075,世界,30,,,,,,,,,,,,,,,,,剥片,,,,,,,笠岡市教育委員会1985,B330039,,,,,,発掘調査,,藤原好二,,,
330031,,上浦八幡遺跡,,,,Kamiurahachiman,,笠岡市片島西浦,34.480556,133.508611,世界,40,,,,,,,,,,,,,,,,,剥片,,,,,,,笠岡市教育委員会1985,B330039,,,,,,採集資料,,藤原好二,,,
330032,,上浦A遺跡,,,,Kamiura A,,笠岡市片島上浦,34.481667,133.510278,世界,30,,,,,,,,,,,,,,,,,剥片,,,,,,,笠岡市教育委員会1985,B330039,,,,,,採集資料,,藤原好二,,,
330033,,片島C遺跡,,,,Katashima C,,笠岡市片島,34.478056,133.501111,世界,35,○,,,,,○,,,,,,,,,,,剥片,,,,,,,藤原好二1996b,B330094,,,,,,採集資料,,藤原好二,,,
330034,,片島D遺跡,,,,Katashima D,,笠岡市片島,34.477778,133.498611,世界,30,,,,,,,,,,,,,,,,,剥片,,,,,,,藤原好二1996b,B330094,,,,,,採集資料,,藤原好二,,,
330035,,片島E遺跡,,,,Katashima E,,笠岡市片島,34.477778,133.498056,世界,30,○,,,,,,,,,,,,,,,,剥片,,,,,,,藤原好二1996b,B330094,,,,,,採集資料,,藤原好二,,,
330036,,道通浜,,,,Michidooshihama,,笠岡市横島道通浜,34.481111,133.521944,世界,15,,,,,,,,,,,,,,,,,剥片,,,,,,県遺跡地図では横島大谷遺跡,岡山県教育委員会2003b,B330028,,,,,,採集資料,,藤原好二,20171104,小嶋善邦,1
330037,,差出島遺跡,,,,Sasudejima,,笠岡市高島差出島,34.439167,133.503333,世界,57,,,,,,,,,,,,,,,,,剥片,,,,,,,笠岡市史編さん委員会1983,B330040,,,,,,採集資料,,藤原好二,,,
330038,,明地島遺跡,第３地点,,,Myoujishima,Loc.3,笠岡市高島明地島,34.432778,133.498333,世界,45,,,,,,,,,,,,,,,,,翼状剥片,,,,,,,笠岡市史編さん委員会1983,B330040,,,,,,採集資料,,藤原好二,,,
330039,,明地島遺跡,第４地点,,,Myoujishima,Loc.4,笠岡市高島明地島,34.430833,133.498056,世界,26,○,,,,,○,,,,,,,,,,,,,,,,,,笠岡市史編さん委員会1983,B330040,,,,,,採集資料,,藤原好二,,,
330040,,明地島遺跡,第５地点,,,Myoujishima,Loc.5,笠岡市高島明地島,34.433889,133.499722,世界,25,,,,,,,,,,,,,,,,,剥片,,,,,,,笠岡市史編さん委員会1983,B330040,,,,,,採集資料,,藤原好二,,,
330041,,高島遺跡,第５地点,,,Takashima,Loc.5,笠岡市高島谷ノ奥,34.426389,133.508056,世界,30,○,,,,,,,,,,,,,,,,,,,,,,,笠岡市史編さん委員会1983,B330040,,,,,,採集資料,,藤原好二,,,
330042,,持立,,,,Mochitate,,笠岡市白石島持立,34.40055,133.51871,世界,10,,,,,,,,,,,,,,,,,剥片,,,,,,,岡山県教育委員会2003b,B330028,,,,,,採集資料,,藤原好二,20171104,小嶋善邦,1
330043,,持立,,,,Mochitate,,笠岡市白石島持立,34.399444,133.518056,世界,12,,,,,,,,,,,,,,,,,剥片,,,,,,,岡山県教育委員会2003b,B330028,,,,,,採集資料,,藤原好二,,,
330044,,楠,,,,Kusunoki,,笠岡市北木島楠,34.393611,133.549444,世界,40,,,,,,,,,,,,,,,,,剥片,,,,,,,岡山県教育委員会2003b,B330028,,,,,,採集資料,,藤原好二,,,
330045,,布越遺跡,,,,Nunogoshi,,笠岡市北木島布越,34.395,133.556389,世界,40,,,,,,,,○,,,,,,,,,剥片,,,,,,,笠岡市史編さん委員会1983,B330040,,,,,,採集資料,,藤原好二,,,
330046,,戒浦,,,,Kaiura,,笠岡市小飛島戎浦,34.34421,133.52035,世界,30,,,,,,,,,,,,,,,,,剥片,,,,,,,岡山県教育委員会2003b,B330028,,,,,,採集資料,,藤原好二,20171104,小嶋善邦,1
330047,,大谷,,,,Ootani,,笠岡市真鍋島大谷,34.360278,133.5825,世界,50,,,,,,,,,,,,,,,,,剥片,,,,,,,岡山県教育委員会2003b,B330028,,,,,,採集資料,,藤原好二,,,
330048,,大島,,,,Ooshima,,笠岡市六島大鳥,34.308333,133.538611,世界,32,,,,,,,,,,,,,,,,,剥片,,,,,,,岡山県教育委員会2003b,B330028,,,,,,採集資料,,藤原好二,,,
330049,,大島,,,,Ooshima,,笠岡市六島大鳥,34.307222,133.538333,世界,10,,,,,,,,,,,,,,,,,剥片,,,,,,,岡山県教育委員会2003b,B330028,,,,,,採集資料,,藤原好二,,,
330050,,前浦遺跡,,,,Maeura,,笠岡市六島前浦,34.300833,133.534722,世界,50,○,,,,,,,○,,,,,,,,,剥片,,,,,,,笠岡市史編さん委員会1983,B330040,,,,,,採集資料,,藤原好二,,,
330051,,阿部山遺跡,,,,Abesan,,笠岡市尾坂北山,34.583333,133.570833,世界,364,○,,,,,,,,,,,,,,,,,,,,,,,鴨方町史編纂委員会1990,B330048,,,,,,採集資料,,藤原好二,,,
330052,,八重山遺跡,,,,Yaeyama,,浅口市金光町八重,34.540833,133.6375,世界,21,○,,,,,○,,,,,,,,,,,翼状剥片,,,,,,,金光町史編纂委員会2003,B330061,,,,,,採集資料,,藤原好二,,,
330053,,道木遺跡,,,,Michiki,,浅口市金光町占見新田道木,34.549167,133.632222,世界,36,○,,,,,,,,,,,,,,,,剥片,,,,,,,金光町史編纂委員会2003/岡山県教育委員会2003b,B330061,B330028,,,,,採集資料,,藤原好二,,,
330054,,和田遺跡,,,,Wada,,浅口市鴨方町和田,34.551667,133.591111,世界,40,,,,,,,,,,○,,,,,,,,,,,,,,岡山県教育委員会1981a,B330015,,,,,,発掘調査,,藤原好二,,,
330055,,青佐山遺跡,,,,Aosayama,,浅口市寄島町青佐青佐山,34.471389,133.576111,世界,30,,,,,,,,,,,,,,,,,剥片,,,,,,,町誌編纂委員会1966,B330079,,,,,,採集資料,,藤原好二,,,
330056,,つぶ山遺跡,,,,Tsubuyama,,浅口市寄島町早崎,34.48459,133.58557,世界,50,,,,,,,,,,,,,,,,,剥片,,,,,,,町誌編纂委員会1966/藤原好二1996b,B330079,B330094,,,,,採集資料,,藤原好二,20171104,小嶋善邦,1
330057,,三郎島遺跡,,,,Saburojima,,浅口市寄島町寄島,34.473056,133.595833,世界,80,○,,,,,,,,,○,,,,,,,剥片,,,,,,,町誌編纂委員会1966/藤原好二1996b,B330079,B330094,,,,,採集資料,,藤原好二,,,
330058,,酒津遺跡,,,,Sakazu,,倉敷市酒津,34.611111,133.744722,世界,7,○,,,,,,,,,,,,,,,,,,,,,,倉敷埋蔵文化財センター保管,,,,,,,,採集資料,,藤原好二,,,
330059,,明見谷池西遺跡,,,,Myokendaniike nishi,,倉敷市浅原,34.622778,133.768333,世界,40,,,,,,,,,,,,,,,,,剥片,,,,,,,岡山県教育委員会2003h,B330032,,,,,,採集資料,,藤原好二,20171104,小嶋善邦,1
330060,,菅生小学校裏山遺跡,,,,Sugo shogakko urayama,,倉敷市西坂,34.626667,133.773056,世界,5,○,,,,,○,,,,,,,,,,,剥片,,,,,,,岡山県教育委員会1993a,B330020,,,,,,発掘調査,,藤原好二,20171104,小嶋善邦,1
330061,,菅生小学校裏山遺跡,,,,Sugo shogakko urayama,,倉敷市西坂,34.624167,133.772222,世界,83,,,,,,,,,,,,,,,,,剥片,,,,,,,間壁葭子1966,B330097,,,,,,採集資料,,藤原好二,,,
330062,二子御堂奥古窯跡群,,,,Futago-midooku,,,倉敷市二子,34.645,133.809167,世界,10,,,,,,,,,,○,,,,,,,,,,,,,,藤原好二1996a,B330093,,,,,,発掘調査,,藤原好二,,,
330063,,矢部堀越遺跡,,,,Yabehorikoshi,,倉敷市矢部,34.666389,133.813611,世界,20,,,,,○,○,,,,,,,,,,,,,,,,,,岡山県教育委員会1993b,B330021,,,,,,発掘調査,,藤原好二,,,
330064,,伊能軒遺跡,,,,Inouken,,倉敷市矢部,34.662222,133.8175,世界,15,,,,,,,,,,○,,,,,,,,,,,,,,藤原好二1996a,B330093,,,,,,発掘調査,,藤原好二,,,
330065,,日畑廃寺遺跡,,,,Hibata,,倉敷市日畑,34.65999,133.82885,世界,6,,,,,,,,,,,,,,,,,石核,,,,,,,倉敷埋蔵文化財センター2005,B330058,,,,,,発掘調査,,藤原好二,20171104,小嶋善邦,1
330066,,王墓山古墳,,,,Obosan kofun,,倉敷市日畑,34.659444,133.826389,世界,40,,,,,○,,,,,,,,,,,,,,,,,,倉敷埋蔵文化財センター保管,,,,,,,,採集資料,,藤原好二,,,
330067,,上東遺跡,,,,Joto,,倉敷市上東,34.650833,133.827778,世界,2,,,,,,,,,,,,,,,,,横長剥片石核,,,,,,,倉敷埋蔵文化財センター2002/倉敷市埋蔵文化財センター2007,B330057,B330108,,,,,発掘調査,,藤原好二,,,
330068,,うしぐそ山遺跡,,,,Ushigusoyama,,倉敷市羽島,34.597778,133.78,世界,34,,,,,,,,○,,,,,,,,,,,,,,,,倉敷市教育委員会2005,B330052,,,,,,採集資料,,藤原好二,,,
330069,,白銀山遺跡,,,,Shiroganeyama,,倉敷市玉島乙島,34.5525,133.690278,世界,40,,,,,,,,,,,,,,,,,剥片,,,,,,,倉敷埋蔵文化財センター2002,B330057,,,,,,採集資料,,藤原好二,,,
330070,,西元浜貝塚,,,,Nishimotohama,,倉敷市玉島黒崎,34.534444,133.64,世界,10,,,,,,,,,,○,,,,,,,,,,,,,倉敷埋蔵文化財センター保管,,,,,,,,採集資料,,藤原好二,,,
330071,,中津貝塚,,,,Nakatsu,,倉敷市玉島黒崎,34.525278,133.641667,世界,6,,,,,,,,,,○,,,,,,,,,,,,,,藤原好二1996a,B330093,,,,,,採集資料,,藤原好二,,,
330072,,矢頭遺跡,,,,Yatou,,倉敷市玉島黒崎,34.526667,133.638889,世界,6,,,,,,,,,,○,,,,,,,,,,,,,,原田虎平1931,B330088,,,,,,採集資料,,藤原好二,,,
330073,,小原南遺跡,,,,Obaraminami,,倉敷市玉島黒崎,34.505833,133.646667,世界,40,,,,,,,,,,,,,,,,,剥片,,,,,,,倉敷市教育委員会1999,B330050,,,,,,採集資料,,藤原好二,,,
330074,,辻堂遺跡,,,,Tsujidou,,倉敷市連島町連島,34.5625,133.738333,世界,104,○,,,,,,,,,,,,,,,,剥片,,,,,,,間壁葭子1966,B330097,,,,,,採集資料,,藤原好二,,,
330075,,足高山南遺跡,,,,Ashitakayamaminami,,倉敷市笹沖,34.574444,133.763611,世界,22,,,,,,,,,,,,,,,,,剥片,,,,,,,倉敷市教育委員会2005,B330052,,,,,,採集資料,,藤原好二,,,
330076,,福田貝塚裏山遺跡,,,,Fukuda kaizuka urayama,,倉敷市福田町古新田,34.553889,133.765556,世界,95,○,,,,,,,,,,,,,,,,,,,,,,,間壁葭子1966/(財)倉敷考古館1972,B330097,B330062,,,,,採集資料,,藤原好二,,,
330077,,ビクニ谷遺跡,,,,Bikunidani,,倉敷市福田町浦田,34.554167,133.758333,世界,30,,,,,,,,,,,,,,,,,剥片,,,,,,,倉敷市教育委員会2005,B330052,,,,,,採集資料,,藤原好二,,,
330078,,古城池北遺跡,,,,Kojoike kita,,倉敷市福田町福田,34.551667,133.756389,世界,44,,,,,,,,,,,,,,,,,剥片,,,,,,,倉敷市教育委員会2005,B330052,,,,,,採集資料,,藤原好二,,,
330079,,真弓池遺跡,,,,Mayumiike,,倉敷市福田町福田,34.5375,133.784167,世界,155,,,,,,,,,,,,,,,,,剥片,,,,,,,倉敷市教育委員会2005,B330052,,,,,,採集資料,,藤原好二,,,
330080,,種松山南遺跡,,,,Tanematsuyama minami,,倉敷市粒江,34.544722,133.789167,世界,240,,,,,,,,,,,,,,,,,剥片,,,,,,,倉敷市教育委員会2001,B330051,,,,,,採集資料,,藤原好二,,,
330081,,一尺谷上池遺跡,,,,Isshakudani kamiike,,倉敷市粒江,34.541389,133.791389,世界,190,○,,,,,,,,,○,,,,,,,石核,,,,,,,藤原好二1998b,B330096,,,,,,採集資料,,藤原好二,,,
330082,,山の鼻遺跡,,,,Yamanohana,,倉敷市福田町広江,34.523889,133.771944,世界,32,○,,,,,,,,,,,,,,,,,,,,,,,倉敷市教育委員会2005,B330052,,,,,,採集資料,,藤原好二,,,
330083,,常光寺遺跡,,,,Jokoji,,倉敷市福田町広江,34.513611,133.756667,世界,25,,,,,,,,,,,,,,,,,剥片,,,,,,,倉敷市教育委員会2005,B330052,,,,,,採集資料,,藤原好二,,,
330084,,大山崎遺跡,,,,Ooyamazaki,,倉敷市福田町広江,34.512222,133.755556,世界,26,,,,,,,,,,,,,,,,,剥片,,,,,,,倉敷市教育委員会2005,B330052,,,,,,採集資料,,藤原好二,,,
330085,,西ノ山遺跡,,,,Nishinoyama,,倉敷市曽原,34.5325,133.800833,世界,40,,,,,,,,○,,,,,,,,,剥片,,,,,,,藤原好二1992,B330092,,,,,,採集資料,,藤原好二,20171125,小嶋善邦,1
330086,,一等寺裏遺跡,,,,Ittoji ura,,倉敷市曽原,34.538611,133.806389,世界,45,,,,,,,,,,,,,,,,,剥片,,,,,,,倉敷市教育委員会2001,B330051,,,,,,採集資料,,藤原好二,,,
330087,曽原窯跡群,,,,Sobara,,,倉敷市曽原,34.535,133.795278,世界,110,○,,,,,,,,,,,,,,,,,,,,,,,倉敷埋蔵文化財センター1999,B330056,,,,,,採集資料,,藤原好二,,,
330088,,戸津田遺跡,,,,Totsuda,,倉敷市串田・林,34.54,133.811667,世界,50,,,,,○,,,,,,,,,,,,,,,,,,,倉敷市教育委員会2001,B330051,,,,,,採集資料,,藤原好二,,,
330089,,緒興寺跡,,,,Shokoji ato,,倉敷市木見,34.530833,133.820833,世界,12,,,,,,,,,,○,,,,,,,,,,,,,,倉敷市教育委員会2001,B330051,,,,,,採集資料,,藤原好二,,,
330090,,前山遺跡,,,,Maeyama,,倉敷市福江,34.525833,133.801944,世界,65,,,,,,,,,,○,,,,,,,,,,,,,,鎌木義昌1950,B330041,,,,,,発掘調査,,藤原好二,,,
330091,,妙見山遺跡,,,,Myokenyama,,倉敷市児島由加,34.508333,133.853889,世界,283,,,,,,,,,,,,,,,,,剥片,,,,,,,倉敷市教育委員会2001,B330051,,,,,,採集資料,,藤原好二,,,
330092,,桜園地遺跡,,,,Sakuraenchi,,倉敷市児島由加,34.506944,133.850278,世界,273,,,,,,,,,,,,,,,,,剥片,,,,,,,倉敷埋蔵文化財センター1997,B330055,,,,,,採集資料,,藤原好二,,,
330093,,帆崎遺跡,,,,Hozaki,,倉敷市玉島黒崎,34.495,133.618056,世界,75,,,,,,,,,,,,,,,,,剥片,,,,,,,倉敷市教育委員会1999,B330050,,,,,,採集資料,,藤原好二,,,
330094,,山王遺跡,,,,Sannou,,倉敷市玉島黒崎,34.495833,133.622778,世界,25,,,,,,,,,,,,,,,,,剥片,,,,,,,倉敷市教育委員会1999,B330050,,,,,,採集資料,,藤原好二,,,
330095,,諏訪神社遺跡,,,,Suwa jinjya,,倉敷市玉島黒崎,34.502222,133.637778,世界,20,,,,,,,,,,,,,,,,,剥片,,,,,,,倉敷市教育委員会1999,B330050,,,,,,採集資料,,藤原好二,,,
330096,,上水島遺跡,,,,Kamimizushima,,倉敷市上水島,34.462778,133.713611,世界,51,○,,,,,,,○,,,,,,,,,,,,,,,,倉敷市教育委員会1999/倉敷埋蔵文化財センター2017,B330050,B330118,,,,,発掘調査,,藤原好二,,,
330097,,金浜上遺跡,,,,Kanahamakami,,倉敷市児島塩生,34.489722,133.768611,世界,40,○,,,,,,,,,,,,,,,,,,,,,,,間壁葭子1966,B330097,,,,,,採集資料,,藤原好二,,,
330098,,高島北の鼻遺跡,,,,Takashimakitanohana,,倉敷市児島塩生,34.480833,133.758333,世界,30,,,,,,,,,,,,,,,,,剥片,,,,,,,倉敷市教育委員会2001,B330051,,,,,,採集資料,,藤原好二,,,
330099,,高島西遺跡,,,,Takashimanishi,,倉敷市児島塩生,34.477778,133.757778,世界,35,,,,,,,,,,,,,,,,,剥片,,,,,,,倉敷市教育委員会2001,B330051,,,,,,採集資料,,藤原好二,,,
330100,,高島エビス鼻遺跡,,,,Takashimaebisubana,,倉敷市児島塩生,34.476389,133.756944,世界,20,○,,,,,,,,,,,,,,,,,,,,,,,間壁葭子1966,B330097,,,,,,採集資料,,藤原好二,,,
330101,,高島東遺跡,,,,Takashimahigashi,,倉敷市児島塩生,34.477222,133.760278,世界,15,,,,,,,,,,,,,,,,,剥片,,,,,,,倉敷市教育委員会2001,B330051,,,,,,採集資料,,藤原好二,,,
330102,,高島南遺跡,,,,Takashimaminami,,倉敷市児島塩生,34.475833,133.759722,世界,25,,,,,,,,,,,,,,,,,剥片,,,,,,,倉敷市教育委員会2001,B330051,,,,,,採集資料,,藤原好二,,,
330103,,竜王山遺跡,,,,Ryuousan,,倉敷市児島味野・赤崎,34.463889,133.790833,世界,209,○,,,,,,,,,,,,,,,,,,,,,,,藤原好二1998a,B330095,,,,,,採集資料,,藤原好二,,,
330104,,宮の鼻遺跡,,,,Miyanohana,,倉敷市児島塩生,34.462778,133.7675,世界,30,○,,,,,,,,,,,,,,,,,,,,,,,間壁葭子1966/倉敷市教育委員会・倉敷市文化財保護委員会1968,B330097,B330129,,,,,採集資料,,藤原好二,,,
330105,,湊岬遺跡,,,,Minatozaki,,倉敷市児島塩生,34.456111,133.771944,世界,62,,,,,,,,,,,,,,,,,剥片,,,,,,,倉敷市教育委員会2001,B330051,,,,,,採集資料,,藤原好二,,,
330106,,灯籠崎西遺跡,,,,Tourouzakinishi,,倉敷市下津井,34.438611,133.785278,世界,71,,,,,,,,,,,,,,,,,剥片,,,,,,,倉敷埋蔵文化財センター1997,B330055,,,,,,発掘調査,,藤原好二,,,
330107,,灯籠崎遺跡,,,,Tourouzaki,,倉敷市下津井,34.436389,133.786944,世界,55,,,,,,,,,,,,,,,,,剥片,,,,,,,倉敷埋蔵文化財センター1996,B330054,,,,,,発掘調査,,藤原好二,,,
330108,,鷲羽山遺跡,,,,Washuzan,,倉敷市下津井田之浦・大畠,34.435,133.814444,世界,110,○,,,,○,○,,○,,,○,,,,,,石核／剥片,,,,,,,山本慶一1969/鎌木義昌1956/倉敷市教育委員会・倉敷市文化財保護委員会1968/(財)倉敷考古館1969/高橋護1986/(財)倉敷考古館1987,B330103,B330042,B330129,,,,発掘調査,,藤原好二,,,
330109,,細濃地島遺跡,,,,Hosonojishima,,倉敷市細濃地島,34.45,133.748611,世界,25,,,,,,,,,,,,,,,,,剥片,,,,,,,倉敷市教育委員会2001,B330051,,,,,,採集資料,,藤原好二,,,
330110,,上濃地島遺跡,,,,Kaminojishima,,倉敷市上濃地島,34.443333,133.758056,世界,30,,,,,,,,,,,,,,,,,剥片,,,,,,,倉敷市教育委員会2001,B330051,,,,,,採集資料,,藤原好二,,,
330111,,六口島茶屋鼻遺跡,,,,Mukuchijimacyayabana,,倉敷市六口島,34.426944,133.766111,世界,20,,,,,,,,,,○,,,,,,,剥片,,,,,,,(財)倉敷考古館1972/倉敷市教育委員会・倉敷市文化財保護委員会1968,B330062,B330129,,,,,採集資料,,藤原好二,,,
330112,,下津井松島遺跡,,,,Shimotsuimatsushima,,倉敷市松島,34.425278,133.816944,世界,25,,,,,,,,,,,,,,,,,剥片,,,,,,,倉敷市教育委員会2001,B330051,,,,,,採集資料,,藤原好二,,,
330113,,釜島第1遺跡,,,,Kamashima No.1,,倉敷市下津井釜島,34.423056,133.828333,世界,40,,,,,,○,,○,,,○,,,,,,剥片,,,,,,,倉敷埋蔵文化財センター2002,B330057,,,,,,発掘調査,,藤原好二,,,
330114,,釜島第3遺跡,,,,Kamashima No.3,,倉敷市下津井釜島,34.423611,133.831111,世界,14,,,,,,,,,,,,,,,,,剥片,,,,,,,倉敷市教育委員会2001,B330051,,,,,,採集資料,,藤原好二,,,
330115,,釜島第4遺跡,,,,Kamashima No.4,,倉敷市下津井釜島,34.422778,133.834722,世界,25,,,,,,,,,,,,,,,,,剥片,,,,,,,倉敷市教育委員会2001,B330051,,,,,,採集資料,,藤原好二,,,
330116,,釜島第5遺跡,,,,Kamashima No.5,,倉敷市下津井釜島,34.421111,133.830556,世界,27,,,,,,,,,,,,,,,,,剥片,,,,,,,倉敷市教育委員会2001,B330051,,,,,,採集資料,,藤原好二,,,
330117,,釜島第6遺跡,,,,Kamashima No.6,,倉敷市下津井釜島,34.419167,133.831111,世界,20,,,,,,,,,,,,,,,,,剥片,,,,,,,倉敷市教育委員会2001,B330051,,,,,,採集資料,,藤原好二,,,
330118,,竪場島遺跡,,,,Tatebajima,,倉敷市竪場島,34.448333,133.852778,世界,45,○,,,,,,,,,,,,,,,,剥片,,,,,,,鎌木義昌・高橋護1965/鎌木義昌・小林博昭1986c,B330047,B330139,,,,,発掘調査,,藤原好二,,,
330119,,萱苅遺跡,,,,Kayakari,,倉敷市児島下の町,34.470833,133.816389,世界,37,,,,,,,,,,,,,,,,,剥片,,,,,,,倉敷市教育委員会2001,B330051,,,,,,採集資料,,藤原好二,,,
330120,,大谷遺跡,,,,0tani,,倉敷市児島小川,34.469722,133.812222,世界,38,,,,,,,,,,,,,,,,,剥片,,,,,,,倉敷市教育委員会2001,B330051,,,,,,採集資料,,藤原好二,,,
330121,,山際紫山遺跡,,,,Yamagiwakoyama,,倉敷市児島上の町,34.487778,133.813889,世界,30,,,,,,,,,,○,,,,,,,,,,,,,,岡山県教育委員会1988b/藤原好二1996a,B330018,B330093,,,,,発掘調査,,藤原好二,,,
330122,,琴浦向山遺跡,,,,Kotouramukoyama,,倉敷市児島田の口,34.479722,133.8325,世界,70,,,,,,,,,,○,,,,,,,,,,,,,,倉敷市教育委員会・倉敷市文化財保護委員会1968/藤原好二1996a,B330129,B330093,,,,,採集資料,,藤原好二,,,
330123,,仙随山遺跡,,,,Senzuiyama,,倉敷市児島田の口,34.483889,133.838889,世界,233,,,,,,,,,,,,,,,,,剥片,,,,,,,倉敷埋蔵文化財センター1999,B330056,,,,,,採集資料,,藤原好二,,,
330124,,岩滝山遺跡,,,,Iwatakiyama,,倉敷市児島田の口,34.473056,133.852222,世界,170,,,,,,,,,,,,,,,,,剥片,,,,,,,倉敷市教育委員会2001,B330051,,,,,,採集資料,,藤原好二,,,
330125,,鵜石鼻遺跡,,,,Ueshibana,,倉敷市児島唐琴町,34.468333,133.858889,世界,17,○,,,,,,,,,,,,,,,,石核／翼状剥片,,,,,,,倉敷市教育委員会2001,B330051,,,,,,発掘調査,,藤原好二,,,
330126,,王子が岳第1遺跡,,,,Ojigadake No.1,,倉敷市児島唐琴町,34.465833,133.877222,世界,230,,,,,,,,,,,,,,,,,剥片,,,,,,,倉敷市教育委員会2001,B330051,,,,,,採集資料,,藤原好二,,,
330127,,王子が岳第2遺跡,,,,Ojigadake No.2,,倉敷市児島唐琴町,34.47,133.870556,世界,140,,,,,,,,,,,,,,,,,剥片,,,,,,,倉敷市教育委員会2001,B330051,,,,,,採集資料,,藤原好二,,,
330128,,王子が岳第3遺跡,,,,Ojigadake No.3,,倉敷市児島唐琴町,34.468056,133.870556,世界,130,,,,,,,,,,,,,,,,,剥片,,,,,,,倉敷市教育委員会2001,B330051,,,,,,採集資料,,藤原好二,,,
330129,,王子が岳第4遺跡,,,,Ojigadake No.4,,倉敷市児島唐琴町,34.466389,133.872778,世界,140,,,,,,,,,,,,,,,,,剥片,,,,,,,倉敷市教育委員会2001,B330051,,,,,,採集資料,,藤原好二,,,
330130,,王子が岳第5遺跡,,,,Ojigadake No.5,,倉敷市児島唐琴町,34.460278,133.881944,世界,200,,,,,,,,,,,,,,,,,剥片,,,,,,,倉敷市教育委員会2001,B330051,,,,,,採集資料,,藤原好二,,,
