ID,Site group (Japanese),Site name (Japanese),Locality name (Japanese),Cultural layer,Site group,Site name ,Locality name,Adress (Japanese),North Latitude,East Longitude,Geodetic system,Altitude (Tokyo Peil),Knife shaped tool,Trapeze（Trapezoid）,Axe shaped tool,Tangged point on blade,Triangulared pointed tool,Lanceolate shaped point,Biface,Micro blade,Mikoshiba type axe shaped tool,Tangged point,End scraper/Scraper,Burin,Whetstone,Hammer stone,Anvil stone,Pebble tool,Others (Japanease),Earthenware from the Incipient Jomon,Lithic cluster,Pebble cluster,Charcoal fragment concentration,Other features,Remark,Citation,CitationID1,CitationID2,Citation ID3,Citation ID4,Citation ID5,CitationID6,Research type,Creation date,Created by,Update date,Updated by,Coordinate check
ID,遺跡群名,遺跡名,地点・地区名,文化層・石器文化,遺跡群名読み方,遺跡名読み方,地点・地区名読み方,所在地,緯度,経度,測地系,標高,ナイフ形石器,台形（様）石器,斧形石器,剥片尖頭器,角錐状石器・三稜尖頭器,槍先形尖頭器,両面調整石器,細石刃・細石核等,神子柴型石斧,有茎（舌）尖頭器,掻器・削器,彫器,砥石,叩石,台石,礫器,その他の石器,草創期土器,ブロック･ユニット,礫群・配石,炭化物集中,その他の遺構,特記事項,文献,文献ID1,文献ID2,文献ID3,文献ID4,文献ID5,文献ID6,調査歴,作成年月日,作成者,更新年月日,更新者,位置修正
330240,,宮田山遺跡,,,,Miyatayama,,玉野市渋川,34.454167,133.908333,世界,95,○,,,,○,○,,,,,○,,,,,,石核・剥片,,,,,,岡山県立博物館保管,西川・杉野1959/玉野市史編纂委員会1970/西川宏1986/倉敷埋蔵文化財センター1995/岡山県教育委員会2003c,B330112,B330111,B330138,B330053,,,採集資料,,西田和浩,,,
330241,,宮山遺跡,,,,Miyayama,,玉野市日比,34.453611,133.918611,世界,100,○,,,,,○,,○,,,,,,,,,,,,,,,,玉野市史編纂委員会1970/岡山県教育委員会2003c,B330111,B330030,,,,,採集資料,,西田和浩,,,
330242,,向日比遺跡,,,,Mukaihibi,,玉野市向日比,34.456389,133.940278,世界,30,○,,,,,,,,,,,,,,,,,,,,,,,玉野市史編纂委員会1970/倉敷埋蔵文化財センター1995/岡山県教育委員会2003c,B330111,B330053,,,,,採集資料,,西田和浩,,,
330243,,高辺山遺跡,,,,Takabeyama,,玉野市築港,34.497222,133.958889,世界,25,○,,,,,○,,,,,,,,,,,,,,,,,,玉野市史編纂委員会1970/岡山県教育委員会2003c,B330111,B330030,,,,,採集資料,,西田和浩,,,
330244,,尻海才ノ峠遺跡,,,,Sirimisainotao,,瀬戸内市邑久町尻見字才ノ峠,34.653611,134.151944,世界,20,○,,,,,,,,,,,,,,,,,,,,,,,邑久町史編纂委員会2006/邑久町史編纂委員会2009,B330107,B330030,,,,,採集資料,20171115,小嶋善邦,,,
330245,,二野遺跡,,包含層,,Nino,,新見市哲西町大字矢田字二野,34.944167,133.328889,世界,375,○,,,,,○,,,,,○,,,,,,,,,,,,,岡山県教育委員会1977,B330131,,,,,,発掘調査,20171115,小嶋善邦,,,
330246,,窪木薬師遺跡,,,,Kubokiyakusi,,総社市窪木薬師,34.6825,133.788889,世界,7,○,,,,,,,,,,,,,,,,,,,,,,,岡山県教育委員会1993ｃ,B330132,,,,,,発掘調査,20171115,小嶋善邦,,,
330247,,出崎遺跡,Ｂ地点,,,Desaki,Loc.Ｂ,玉野市出崎,34.516944,134.001667,世界,1,○,,,,,,,,,○,,,,,,,,,,,,,,杉野文一1987／平井勝・保田義治1987,B330112,,,,,,,20171115,小嶋善邦,,,
330248,,砂山城跡,,,,Sunayama,,玉野市砂山,34.55215,133.97201,世界,96,,,,,,,,,,,○,,,,,,,,,,,,,杉野文一1987,B330112,,,,,,採集資料,20171115,小嶋善邦,,,
330249,,楢原古墳群,,,,Narabara,,岡山市東区楢原,34.698333,134.060278,世界,70,○,,,,,,,,,,,,,,,,剥片/砕片,,,,,,,岡山県教育委員会1998ｃ,B330115,,,,,,発掘調査,20171115,小嶋善邦,,,
