ID,Citation,Author (Japanease),Author (Japanease),Publication year,Publication year,Paper name,Journal/ Report name,Link 
B300033,中原正光・北村純治2008,中原正光・北村純治,なかはらまさみつ・きたむらじゅんじ,2008,,大型半円筒形の磨製丸ノミ形石斧２例,紀伊考古学研究11,https://cir.nii.ac.jp/crid/1390010457643952512
B300034,中村貞史1979,中村貞史,なかむらただし,1979,,縄文時代の遺跡と遺物,和歌山の研究Ⅰ（清文堂）,https://ci.nii.ac.jp/ncid/BN02337179
B300035,野上町誌編さん委員会1985,野上町誌編さん委員会,のかみちょうしへんさんいいんかい,1985,,考古,野上町誌上巻,https://ci.nii.ac.jp/ncid/BN03587025
B300036,藤井保夫1992,藤井保夫,ふじいやすお,1992,,第1章　紀ノ川流域,日本の古代遺跡46 和歌山 (保育社),https://ci.nii.ac.jp/ncid/BN07209799
B300037,山口卓也1981,山口卓也,やまぐちたくや,1981,,和歌山市山東大池遺跡採集の旧石器･縄文時代の遺物,古代史の研究3,https://ci.nii.ac.jp/ncid/AN00126480
B300038,山口卓也1982,山口卓也,やまぐちたくや,1982,,和歌山市山東大池遺跡採集の旧石器･縄文時代の遺物(続),古代史の研究4,https://ci.nii.ac.jp/ncid/AN00126480
B300039,由良町史編さん委員会1995,由良町史編さん委員会,ゆらちょうしへんさんいいんかい,1995,,畑遺跡,由良町史通史編上巻,-
B300040,和歌山県教育委員会1978,和歌山県教育委員会,わかやまけんきょういくいいんかい,1978,,猪垣遺跡,紀の川用水建設事業に伴なう発掘調査報告書,https://sitereports.nabunken.go.jp/41039
B300041,和歌山県教育委員会1980,和歌山県教育委員会,わかやまけんきょういくいいんかい,1980,,調査に至る経過、位置と環境,紀の川用水建設事業に伴なう発掘調査報告書Ⅱ,https://sitereports.nabunken.go.jp/96387
B300042,和歌山県教育委員会1983,和歌山県教育委員会,わかやまけんきょういくいいんかい,1983,,,鳴滝遺跡発掘調査概報,https://sitereports.nabunken.go.jp/96137
B300043,和歌山県教育委員会1985a,和歌山県教育委員会,わかやまけんきょういくいいんかい,1985,a,野田地区遺跡,野田・藤並地区遺跡発掘調査報告書,https://sitereports.nabunken.go.jp/40900
B300044,和歌山県教育委員会1985b,和歌山県教育委員会,わかやまけんきょういくいいんかい,1985,b,藤並地区遺跡,野田・藤並地区遺跡発掘調査報告書,https://sitereports.nabunken.go.jp/40900
B300045,和歌山県教育委員会1986,和歌山県教育委員会,わかやまけんきょういくいいんかい,1986,,,船岡山遺跡発掘調査報告書,https://sitereports.nabunken.go.jp/40903
B300046,和歌山県史編さん委員会1983,和歌山県史編さん委員会,わかやまけんしへんさんいいんかい,1983,,,和歌山県史 考古資料,https://ci.nii.ac.jp/ncid/BN00947408
B300047,和歌山県文化財研究会1978,和歌山県文化財研究会,わかやまけんぶんかざいけんきゅうかい,1978,,西庄地区遺跡（仮称)現場事務所通信No.４,和歌山県埋蔵文化財情報No.9,https://sitereports.nabunken.go.jp/96380
B300048,和歌山県文化財研究会1981,和歌山県文化財研究会,わかやまけんぶんかざいけんきゅうかい,1981,,石器,西国分Ⅱ遺跡発掘調査概報,https://iss.ndl.go.jp/books/R100000001-I094021977-00
B300049,(財)和歌山県文化財センター1995,(財)和歌山県文化財センター,わかやまけんぶんかざいせんたー,1995,,M地区の調査成果,藤並地区遺跡発掘調査報告書,https://sitereports.nabunken.go.jp/30142
B300050,(財)和歌山県文化財センター1999,(財)和歌山県文化財センター,わかやまけんぶんかざいせんたー,1999,,弘西遺跡の第2次発掘調査,和歌山県文化財センター年報1999,https://sitereports.nabunken.go.jp/96456
B300051,(財)和歌山県文化財センター2005,(財)和歌山県文化財センター,わかやまけんぶんかざいせんたー,2005,,弘西遺跡,緊急雇用対策特別基金事業に係る発掘調査資料整理概報,https://sitereports.nabunken.go.jp/80708
B300052,和歌山県立紀伊風土記の丘管理事務所1986,和歌山県立紀伊風土記の丘管理事務所,わかやまけんりつきいふどきのおかかんりじむしよ,1986,,堀止採集のポイント,紀伊風土記の丘年報13,https://ci.nii.ac.jp/ncid/AN00006296
