ID,Citation,Author (Japanease),Author (Japanease),Publication year,Publication year,Paper name,Journal/ Report name,Link 
B380045,,亀井英希,かめいひでき,2008,,ナウマンゾウの牙（今治市宮窪町沖採集）　瀬戸内海にゾウがいた！？,愛媛　歴史民俗100モノ語り（愛媛県歴史文化博物館監修・愛媛新聞社）,
B380046,,木村剛朗,きむらたけお,1979,,愛媛県池ノ丘（Ａ地点）遺跡の後期旧石器遺物,四国西南旧石器・縄文期の新発見遺跡と遺物　土佐考古学叢書３,
B380047,,木村剛朗,きむらたけお,1987,,,四万十川流域の縄文文化研究,
B380048,,木村剛朗,きむらたけお,1995,,,四国西南沿海部の先史文化,
B380049,,木村剛朗,きむらたけお,2003,,,南四国の後期旧石器文化研究,
B380050,,栗田茂敏,くりたしげとし,2005,,,上苅屋遺跡─第３・４次調査─（(財)松山市生涯学習振興財団埋蔵文化財センター）,https://sitereports.nabunken.go.jp/12327
B380051,,黒田英雄,くろだひでお,1970,,上黒岩遺跡　第四次発掘と保存工事,愛媛の文化10,
B380052,,郷田秀和・多田仁,ごうだひでかず・ただじん,2006,,,下川遺跡　─四国横断自動車道建設に伴う埋蔵文化財調査報告書Ⅲ─西予市編（宇和町編Ⅱ）,https://sitereports.nabunken.go.jp/45001
B380053,,小林一郎・坂本安光,こばやしいちろう・さかもと＊＊＊＊,1981,,,一般国道11号松山東道路関係遺跡埋蔵文化財調査報告書Ⅲ,
B380054,,小林謙一・国立歴史民俗博物館,こばやしけんいち・こくりつれきしみんぞくはくぶつかん,2008,,,縄文時代のはじまり─愛媛県上黒岩岩陰遺跡の研究成果─（六一書房）,
B380055,,是沢徳明・多田仁・西岡美穂・廣田秀久,これさわのりあき・ただじん・にしおかみほ・ひろたひでひさ,1995,,,四国縦貫自動車道埋蔵文化財発掘調査報告書Ⅹ　小松町編Ⅲ,
B380056,,作田一耕・柴田昌児・須藤敦子・中野良一,さくたいっこう・しばたしょうじ・すどうあつこ・なかのりょういち,1991,,平坂Ⅱ遺跡,四国縦貫自動車道埋蔵文化財発掘調査報告書Ⅲ,
B380057,,作田一耕・多田仁・成田淳,さくたいっこう・ただじん・なりたじゅん,1999,,,新池遺跡　市場南組窯跡　四国縦貫自動車道埋蔵文化財発掘調査報告書ⅩⅣ,https://sitereports.nabunken.go.jp/29751
B380058,,佐竹明,さたけおきら,1992,,廣福寺遺跡出土の旧石器,愛媛考古学12,
B380059,,塩見靖彦・丹下厚法,しおみやすひこ・たんげあつのり,1993,,,四国縦貫自動車道埋蔵文化財発掘調査報告書Ⅷ　丹原町編,
B380060,,重松佳久,しげまつよしひさ,1992,a,第8章　小野川水系における旧石器文化,久住・久米地区の遺跡,
B380061,,重松佳久,しげまつよしひさ,1992,b,石手川水系に於ける旧石器文化,桑原地区の遺跡,
B380062,,鈴木道之助,すずきみちのすけ,1972,,縄文時代草創期初頭の狩猟活動　─有舌尖頭器の終焉と石鏃の出現をめぐって─,考古学ジャーナル76,
B380063,,十亀幸雄,そがめゆきお,1977,,愛媛県弓削町楡田採集の翼状剥片,遺跡15,
B380064,,十亀幸雄,そがめゆきお,1978,,愛媛県祝谷丸山遺跡の細石刃剥離技術,古代学研究88,
B380065,,十亀幸雄,そがめゆきお,1979,a,愛媛県松野町出土の木葉形尖頭器,遺跡16,
B380066,,十亀幸雄,そがめゆきお,1979,b,松山市五郎衛谷山のナイフ形石器,遺跡17,
B380067,,十亀幸雄,そがめゆきお,1980,,道後平野における先土器時代の遺跡と遺物,遺跡18,
B380068,,十亀幸雄,そがめゆきお,1981,a,道後平野の槍先形尖頭器について,遺跡19,
B380069,,十亀幸雄,そがめゆきお,1981,b,佐島百山遺跡のナイフ形石器,遺跡20,
B380070,,十亀幸雄,そがめゆきお,1982,,愛媛県弓削における先土器時代の遺跡と遺物,遺跡22,
B380071,,十亀幸雄,そがめゆきお,1983,,西部瀬戸内地方の瀬戸内技法,遺跡23,
B380072,,十亀幸雄,そがめゆきお,1984,a,松山市北久米採集のナイフ形石器,遺跡25,
B380073,,十亀幸雄,そがめゆきお,1984,b,弓削島高浜神社遺跡の先土器時代遺物,遺跡26,
B380074,,十亀幸雄,そがめゆきお,1985,,上黒岩岩陰遺跡採集の遺物,遺跡28,
B380075,,十亀幸雄,そがめゆきお,1988,a,四国西部における国府系石器群,第5回中・四国旧石器文化談話会発表資料,
B380076,,十亀幸雄,そがめゆきお,1988,b,芸予諸島の先土器時代資料,遺跡31,
B380077,,十亀幸雄・多田仁,そがめゆきお・ただじん,1992,,６．愛媛県,第９回中・四国旧石器文化談話会発表資料,
B380078,,十亀幸雄・正岡睦夫,そがめゆきお・まさおかむつお,1985,,,日本の古代遺跡22　愛媛,
B380079,,高尾和長,たかおかずなが,1996,,,束本遺跡第4次調査　枝松遺跡第4次調査,https://sitereports.nabunken.go.jp/11869
B380080,,高尾和長・山之内志郎・加島次郎,たかおかずなが・やまのうちしろう・かしまじろう,2001,,,福音寺地区の遺跡Ⅲ　筋違L・N遺跡,
B380081,,竹口加枝美・多田仁,たけぐちかえみ・ただじん,2002,,,四国縦貫自動車道建設に伴う埋蔵文化財発掘調査報告書ⅩⅧ　双海町編　東峰遺跡第２・４地点・高見Ⅰ遺跡,
B380082,,多田仁,ただじん,1991,a,愛媛県丹原町宝ヶ口Ⅰ遺跡の発掘調査,第８回中・四国旧石器文化談話会発表資料,
B380083,,多田仁,ただじん,1992,a,伊予郡双海町上灘東峰遺跡採集の石器,愛媛考古学12,
B380084,,多田仁,ただじん,1992,b,松山平野の石器文化,祝谷アイリ遺跡,
B380085,,多田仁,ただじん,1995,a,西瀬戸内における角錐状石器の展開,第12回中・四国旧石器文化談話会発表資料,
B380086,,多田仁,ただじん,1995,b,四国南西部の船野型細石核,旧石器考古学51,
B380087,,多田仁,ただじん,1996,a,周辺地域の様相,九州旧石器時代関係資料集成Ⅳ─九州尖頭器石器群の様相─,
B380088,,多田仁,ただじん,1996,b,愛媛県東峰遺跡第2・4地点と高見Ⅰ遺跡の調査,第13回中・四国旧石器文化談話会発表資料,
B380089,,多田仁,ただじん,1996,c,新刊紹介　『四国西南沿海部の先史文化　旧石器・縄文時代』,旧石器考古学52,
